MLS #,Stat,Closed Date,Sold Pr,Type,Yr Blt,Street #,Str Name,Area,Zip,ASF,# Rms,# Full Baths,# Half Baths,Bsmt Bth,Beds,Bsmt. Beds,Garage Type,# Garage Spaces,# Parking Spaces,,
09802602,CLSD,1/4/2018,165000,Condo,UNK,9529,Bronx,76,60077,0,5,2,0,No,2,0,Attached,1,0,,
09908401,CLSD,7/6/2018,175000,Condo,UNK,9529,Bronx,76,60077,0,5,2,0,No,2,0,Attached,1,0,,
09743303,CLSD,10/20/2017,245000,1 Story,1952,5200,Suffield,76,60077,0,8,1,0,No,2,0,Attached,1,1,,
10055807,CLSD,11/30/2018,136000,Condo,1964,8046,KENTON,76,60076,0,5,1,0,,2,0,Attached,1,1,,
09595608,CLSD,6/15/2017,166000,Condo,2005,4953,Oakton,76,60077,0,5,1,0,No,1,0,Attached,1,1,,
09766114,CLSD,1/29/2018,175000,Condo,1975,4900,Foster,76,60077,0,5,2,0,No,2,0,Attached,1,1,,
09681312,CLSD,9/15/2017,233000,Condo,1990,4747,Howard,76,60076,0,6,2,0,,2,0,Attached,1,1,,
10073747,CLSD,10/19/2018,239000,Condo,2005,4953,Oakton,76,60077,0,5,1,0,No,2,0,Attached,1,2,,
09651847,CLSD,9/14/2017,355000,1.5 Story,1963,8935,Crawford,76,60076,0,7,2,0,Yes,3,0,Attached,2,3,,
10253474,CLSD,2/15/2019,223000,1 Story,1955,4921,Dobson,76,60077,0,5,1,0,No,2,0,Attached,1,0,,
09664234,CLSD,6/19/2017,240000,1 Story,1955,5117,Estes,76,60077,0,6,1,0,No,3,0,Attached,1,0,,
10118098,CLSD,11/21/2018,242000,1 Story,1955,4552,KEENEY,76,60076,0,8,2,0,No,3,0,Attached,2,0,,
10102132,CLSD,12/7/2018,252000,1 Story,1952,8301,Ridgeway,76,60076,0,7,2,0,Yes,3,0,Attached,2,0,,
10099127,CLSD,11/20/2018,255100,1 Story,1952,7924,Prairie,76,60076,0,6,1,0,No,2,0,Attached,1,0,,
09933140,CLSD,7/30/2018,268000,1 Story,UNK,4420,Main,76,60076,0,6,1,0,No,3,0,Attached,1,0,,
09746046,CLSD,2/21/2018,270000,2 Stories,UNK,5334,Greenwood,76,60077,0,7,2,0,No,3,0,Attached,1,0,,
09665142,CLSD,8/31/2017,290000,Split Level,1958,7651,Lowell,76,60076,0,7,2,0,Yes,3,0,Attached,1,0,,
09769612,CLSD,11/30/2017,310000,Split Level,1948,5229,Arcadia,76,60077,0,8,1,1,Yes,3,0,Attached,2,0,,
09704332,CLSD,11/14/2017,311000,1 Story,1953,3750,Wright,76,60076,0,7,2,0,Yes,2,1,Attached,1,0,,
09871525,CLSD,4/26/2018,312000,1 Story,1954,4115,Howard,76,60076,0,10,2,0,No,3,0,Attached,1.5,0,,
09766829,CLSD,11/30/2017,315000,1 Story,1954,8250,Lockwood,76,60077,0,8,2,0,No,3,0,Attached,2,0,,
10158499,CLSD,3/1/2019,315000,1 Story,UNK,4235,BIRCHWOOD,76,60076,0,8,2,0,Yes,3,1,Attached,2,0,,
09679138,CLSD,8/29/2017,320000,1 Story,1953,3939,LEE,76,60076,0,8,2,0,Yes,3,0,Attached,2,0,,
09910373,CLSD,8/30/2018,320500,Split Level,1955,8455,Lockwood,76,60077,0,9,2,0,No,3,0,Attached,2,0,,
09939521,CLSD,5/31/2018,320800,Split Level,1969,9718,Lawler,76,60077,0,7,2,0,No,3,0,Attached,2,0,,
09835255,CLSD,3/5/2018,331500,1 Story,UNK,4200,Madison,76,60076,0,8,3,0,Yes,3,0,Attached,1,0,,
09773933,CLSD,1/4/2018,340000,1.5 Story,1959,5345,Galitz,76,60077,0,8,2,0,Yes,3,0,Attached,1,0,,
09774466,CLSD,12/18/2017,350000,Split Level w/ Sub,1962,5245,Wright,76,60077,0,8,2,1,Yes,3,0,Attached,1,0,,
09901576,CLSD,6/8/2018,350000,2 Stories,1942,9044,Laramie,76,60077,0,7,2,0,Yes,2,1,Attached,2,0,,
09597658,CLSD,6/19/2017,365000,1 Story,1954,8549,Lawndale,76,60076,0,9,2,0,Yes,3,0,Attached,1.5,0,,
09700765,CLSD,12/29/2017,367000,Split Level,1959,4209,Enfield,76,60076,0,7,2,0,Yes,3,0,Attached,1,0,,
09960854,CLSD,8/10/2018,370000,2 Stories,1944,8517,Skokie,76,60077,0,8,2,1,Yes,4,0,Attached,2,0,,
10110373,CLSD,12/28/2018,384950,1 Story,1957,9213,Kilbourn,76,60076,0,8,2,1,Yes,3,0,Attached,1,0,,
09838071,CLSD,3/23/2018,389000,Split Level w/ Sub,1963,9734,keystone,76,60076,0,8,3,0,No,4,0,Attached,1,0,,
09571945,CLSD,4/25/2017,390000,2 Stories,UNK,8510,Keystone,76,60076,0,8,1,1,No,3,0,Attached,1,0,,
09626172,CLSD,7/21/2017,400000,Split Level w/ Sub,1974,4400,Emerson,76,60076,0,9,2,1,No,4,0,Attached,2,0,,
09500690,CLSD,5/30/2017,405000,Split Level w/ Sub,1963,9436,CRAWFORD,76,60076,0,8,2,1,No,4,0,Attached,1,0,,
09620662,CLSD,5/14/2018,420000,Split Level w/ Sub,1960,3834,Four Winds,76,60076,0,9,3,0,No,5,0,Attached,2,0,,
09520084,CLSD,7/28/2017,424000,2 Stories,1955,8316,Kolmar,76,60076,0,10,4,0,Yes,4,0,Attached,2,0,,
10072450,CLSD,10/10/2018,430000,1 Story,1955,8232,KOSTNER,76,60076,0,6,2,0,No,3,0,Attached,2,0,,
10036298,CLSD,10/10/2018,432000,Split Level w/ Sub,1956,9100,Kildare,76,60076,0,8,2,1,No,4,0,Attached,2,0,,
08956713,CLSD,11/28/2017,440000,2 Stories,1973,5213,Farwell,76,60077,0,11,2,1,No,4,1,Attached,2,0,,
09695564,CLSD,11/1/2017,450000,1 Story,1958,9400,Kilbourn,76,60076,0,9,2,1,Yes,3,1,Attached,2.5,0,,
09986569,CLSD,10/2/2018,467500,2 Stories,1955,8316,Kolmar,76,60076,0,10,4,0,Yes,4,0,Attached,2,0,,
09815677,CLSD,2/14/2018,470000,2 Stories,1948,8556,HAMLIN,76,60076,0,10,2,1,No,4,0,Attached,2,0,,
09868395,CLSD,5/22/2018,480000,1 Story,1955,9200,Keystone,76,60076,0,10,4,0,Yes,3,1,Attached,2,0,,
09845597,CLSD,3/30/2018,519500,2 Stories,2006,4137,EMERSON,76,60076,0,9,5,0,Yes,5,0,Attached,2,0,,
10000227,CLSD,8/24/2018,532000,Split Level w/ Sub,1961,4044,Enfield,76,60076,0,9,2,1,No,3,0,Attached,2,0,,
09524469,CLSD,5/18/2017,540000,2 Stories,1978,3712,Davis,76,60076,0,9,2,1,No,4,0,Attached,2,0,,
09881977,CLSD,3/19/2018,588000,1 Story,1956,5140,Farwell,76,60077,0,9,3,0,Yes,3,1,Attached,2,0,,
09860235,CLSD,5/23/2018,600000,Split Level w/ Sub,1976,9124,Ridgeway,76,60076,0,11,4,0,No,5,0,Attached,2,0,,
09781632,CLSD,11/29/2017,665000,1 Story,1990,9123,KILDARE,76,60076,0,7,2,1,No,3,0,Attached,2,0,,
09991788,CLSD,10/24/2018,80000,Condo,1960,8710,Skokie,76,60077,0,4,1,0,No,1,0,Attached,1,0,,
10059293,CLSD,10/26/2018,105000,Condo,1974,8152,ELMWOOD,76,60077,0,3,1,0,No,1,0,Attached,1,0,,
09515092,CLSD,5/19/2017,125000,Condo,1975,9530,LAMON,76,60077,0,4,1,0,No,1,0,Attached,1,0,,
09782494,CLSD,12/29/2017,129000,Condo,1973,4840,Foster,76,60077,0,4,1,0,No,1,0,Attached,1,0,,
10125509,CLSD,11/27/2018,130000,"Condo, Mid Rise (4-6 Stories)",1975,9529,Bronx,76,60077,0,4,1,0,No,1,0,Attached,1,0,,
09801128,CLSD,1/24/2018,132500,Condo,1972,8225,NILES CENTER,76,60077,0,5,2,0,No,2,0,Attached,1,0,,
09898369,CLSD,5/16/2018,142600,Condo,1977,4901,Golf,76,60077,0,4,1,0,No,1,0,Attached,1,0,,
09750337,CLSD,11/8/2017,143500,Condo,1970,4842,Conrad,76,60077,0,5,1,1,No,2,0,Attached,1,0,,
09666401,CLSD,8/31/2017,145000,Condo,1940,5001,Madison,76,60077,0,4,1,0,No,2,0,Attached,1,0,,
09672542,CLSD,9/14/2017,155000,"Condo, Mid Rise (4-6 Stories)",1975,9530,LAMON,76,60077,0,5,2,0,No,2,0,Attached,1,0,,
09862875,CLSD,3/26/2018,155000,Condo,1977,4901,Golf,76,60077,0,5,2,0,No,2,0,Attached,34,0,,
09641710,CLSD,8/17/2017,159000,Condo,1974,4840,FOSTER,76,60077,0,5,2,0,No,2,0,Attached,1,0,,
09987728,CLSD,6/20/2018,162000,"Condo, Mid Rise (4-6 Stories)",1977,7601,Lincoln,76,60077,0,5,2,0,No,2,0,Attached,2,0,,
