ID,StreetNum,StrName,Area,Rooms,FullBath,HalfBath,Floors,Zip,SoldPrice,ListPrice,MT,BedRoomsBsmt,BedRooms,GarageSpaces,ClosedDate,GarageType,BsmtBath,AbvGrdSF,BsmntSF,Style,LotDims,LotSize,,,,,,,
1,111,Spruce,11,10,3,0,2,60000,879000,879000,1,0,3,2,10/10/2018,Attached,Yes,0,,Cape Cod,110X145X82X173,15950,,,,,,,
2,112,Harrison,11,7,2,0,1.5,60000,370000,379000,1,0,3,2,10/11/2018,Detached,No,0,,Other,0.32,13939.2,,,,,,,
3,113,Polo,11,11,3,0,2,60000,1050000,1050000,1,0,5,2,10/12/2018,Detached,No,0,,Cape Cod,80 X 150,12000,,,,,,,
4,114,Wilson,11,4,2,1,2,60000,910000,910000,1,0,3,2,10/13/2018,Attached,No,0,,Other,5903,5903,,,,,,,
5,115,Walnut,11,8,2,0,1,60000,419000,419000,3,1,3,1,10/14/2018,Attached,Yes,0,,Ranch,50X134,6700,,,,,,,
6,116,Castle,11,8,3,0,1.5,60000,520000,529000,3,0,4,2,10/15/2018,Attached,Yes,0,,Tri-Level,81X134X163X81,10854,,,,,,,
7,117,Alexis,11,7,2,0,1.5,60000,290000,294900,4,0,3,1.5,10/16/2018,Attached,Yes,1300,,Tri-Level,67X29X131X123,1943,,,,,,,
8,118,Bel Air,11,8,2,0,1,60000,495000,495000,4,0,4,2,10/17/2018,Detached,No,0,,Ranch,9031SQFT,9031,,,,,,,
9,119,Meadow,11,11,4,0,2,60000,1100000,1095000,4,0,5,3,10/18/2018,Attached,Yes,0,,Other,100X133,13300,,,,,,,
10,120,Joanne,11,9,2,1,1,60000,543400,560000,5,0,4,2,10/19/2018,Attached,No,2498,850,Ranch,77X132,10164,,,,,,,
11,121,ALDER,11,9,2,1,1.5,60000,669000,679000,5,0,3,2,10/20/2018,Attached,No,0,,Tri-Level,182 X 79 X 159 X 94,14378,,,,,,,
12,122,Garden,11,8,2,0,2,60000,275000,335000,5,0,4,1,10/21/2018,Attached,No,0,,Cape Cod,126X116,14616,,,,,,,
13,123,Springdale,11,8,2,1,1,60000,350000,340000,5,0,4,2,10/22/2018,Attached,No,2100,500,Ranch,95 X 115,10925,,,,,,,
14,124,Basswood,11,11,2,1,1.5,60000,745000,699000,6,0,4,2,10/23/2018,Attached,No,4143,1099,Other,"10,028","10,028",,,,,,,
15,125,Harms,11,12,3,0,1,60000,425000,449000,6,0,4,2,10/24/2018,Attached,No,2443,,Ranch,75 X 170,12750,,,,,,,
16,126,Bel Air,11,9,1,1,1,60000,270000,289000,6,1,3,2.5,10/25/2018,Detached,No,0,,Ranch,66 X 134 X 66 X 137,8844,,,,,,,
17,127,Maple Leaf,11,8,2,1,1.5,60000,460000,469000,7,0,3,2,10/26/2018,Attached,No,0,,Tri-Level,132 X 69 +31 X 137.96 X,9108,,,,,,,
18,128,Glen Oak,11,7,2,1,1,60000,585000,590000,7,0,3,2,10/27/2018,Attached,No,0,,Ranch,157X163X121X64,25591,,,,,,,
19,129,Fontana,11,7,2,0,1.5,60000,300000,299000,8,0,3,0,10/28/2018,None,Yes,0,,Other,61' X 163',9943,,,,,,,
20,130,Springdale,11,9,2,1,2,60000,646000,674000,8,0,5,2.5,10/29/2018,Attached,No,0,,Other,151.21X151.18X76.30X72.56,22859.9278,,,,,,,
21,131,Swainwood,11,10,3,0,2,60000,754000,774900,8,0,4,2,10/30/2018,Attached,No,0,,Other,25'X117'X101'X135',2925,,,,,,,
22,132,Juniper,11,7,2,0,2,60000,425000,435000,8,0,3,2,10/31/2018,Detached,Yes,0,,Tri-Level,50X133,6650,,,,,,,
23,133,Glenwood,11,7,1,1,2,60000,320000,375000,10,0,3,1,11/1/2018,Detached,No,2520,,English,74X164,12136,,,,,,,
24,134,Norwood,11,8,2,0,1,60000,380000,399913,10,0,3,2,11/2/2018,Attached,No,0,,Ranch,98 X 102,9996,,,,,,,
25,135,Karen,11,9,3,0,1.5,60000,459000,479000,11,0,4,2,11/3/2018,Attached,No,0,,Other,75X123X74X123,9225,,,,,,,
26,136,Joanne,11,9,2,1,1,60000,460000,509000,12,0,4,2,11/4/2018,Attached,No,0,,Ranch,90X135X91X135,12150,,,,,,,
27,137,Happy Hollow,11,10,2,1,1.5,60000,698500,735000,12,0,4,2,11/5/2018,Attached,No,0,,Other,75 X 214 X 121 X 162,16050,,,,,,,
28,138,Glendale,11,7,2,0,1.5,60000,292000,298000,13,0,3,0,11/6/2018,None,Yes,0,,Other,186' X 165 X 59' X 75',30690,,,,,,,
29,139,FIR,11,7,1,1,1,60000,455000,474000,13,0,3,2.1,11/7/2018,Attached,No,0,,Ranch,89 X 131 X 57 X 100.25,11659,,,,,,,
30,140,JUNIPER,11,9,3,0,1,60000,636500,699000,14,0,4,2,11/8/2018,Attached,No,0,,Ranch,80 X 132,10560,,,,,,,
31,141,Linneman,11,11,2,0,2,60000,325000,350000,14,0,4,1.5,11/9/2018,Attached,No,1840,,Bungalow,80' X 150',12000,,,,,,,
32,142,Indian,11,6,1,1,1,60000,376000,389000,14,0,3,1,11/10/2018,Attached,No,1304,,Ranch,80 X 133,10640,,,,,,,
33,143,Grove,11,8,2,0,1.5,60000,370000,389500,17,0,3,2,11/11/2018,Attached,Yes,0,,Bi-Level,132X76,10032,,,,,,,
34,144,Glenwood,11,11,2,0,2,60000,590000,629900,18,0,4,2,11/12/2018,Attached,No,0,,Cape Cod,82X317X84X296,25994,,,,,,,
35,145,James,11,9,3,0,1.5,60000,349900,349900,21,0,5,4,11/13/2018,Attached,Yes,0,,Bi-Level,116 X 65,7540,,,,,,,
36,146,Swainwood,11,10,3,1,2,60000,862500,899000,21,0,4,2,11/14/2018,Attached,Yes,0,,Other,13527,13527,,,,,,,
37,147,Iroquois,11,14,2,1,2,60000,775000,825000,22,0,4,2,11/15/2018,Attached,No,0,,Colonial,88 X 189 X 88 X 195,16632,,,,,,,
38,148,Briar,11,8,2,1,3,60000,565000,565000,22,0,4,2,11/16/2018,Detached,No,0,,Other,75X141X75X136,10575,,,,,,,
39,149,Knollwood,11,8,2,1,2,60000,519900,529900,23,0,4,3,11/17/2018,Detached,No,0,,Other,119X91,10829,,,,,,,
40,150,Windsor,11,8,2,1,2,60000,550000,599000,24,0,4,2,11/18/2018,Attached,No,0,,Colonial,64X150,9600,,,,,,,
41,151,Greenfield,11,7,2,0,1,60000,280000,289900,26,0,3,2,11/19/2018,Detached,Yes,0,,Other,75X125,9375,,,,,,,
42,152,Windsor,11,7,4,0,2,60000,1200000,1200000,27,1,3,2,11/20/2018,Attached,Yes,0,,Other,14619,14619,,,,,,,
43,153,Redwood,11,15,5,1,2,60000,1800000,1995000,28,1,5,2.5,11/21/2018,Attached,Yes,0,,Colonial,112X129,14448,,,,,,,
44,154,Mickey,11,9,2,0,1,60000,550000,575000,30,1,2,2,11/22/2018,Attached,No,2027,,Ranch,125X122,15250,,,,,,,
45,155,Washington,11,8,2,0,1.5,60000,464000,479000,31,0,3,2,11/23/2018,Detached,No,0,,Other,53X125,6625,,,,,,,
46,156,Ironwood,11,9,3,0,1,60000,753071,719900,32,0,4,2,11/24/2018,Attached,No,0,,Traditional,52X117X52X117,6084,,,,,,,
47,157,Garden,11,10,2,0,1,60000,470000,475000,33,0,4,2,11/25/2018,Detached,No,0,,Ranch,30X134X115X1134,4020,,,,,,,
48,158,Independence,11,10,3,1,2,60000,982500,1050000,33,0,4,2,11/26/2018,Attached,No,0,,Colonial,82X160X82X155,13120,,,,,,,
49,159,Henley,11,10,3,1,2,60000,980000,1024000,35,1,4,2,11/27/2018,Attached,Yes,3007,1547,Other,51X187,9537,,,,,,,
50,160,ELM,11,7,2,0,1,60000,260000,289000,35,0,2,2,11/28/2018,Attached,No,0,,Ranch,97X50X114X75,4850,,,,,,,
51,161,Canterbury,11,11,3,1,2,60000,972500,995000,37,0,5,2,11/29/2018,Attached,No,0,,Colonial,100 X 133,13300,,,,,,,
52,162,Sequoia,11,10,2,1,1,60000,542000,629000,37,0,3,2,11/30/2018,Attached,No,2501,2501,Ranch,143 X 86 X 137 X 123,12298,,,,,,,
53,163,MARIE,11,8,3,0,1,60000,512000,535000,40,0,3,2,12/1/2018,Attached,Yes,0,,Ranch,80X125,10000,,,,,,,
54,164,GRANDVIEW,11,8,2,0,2,60000,270000,325000,41,0,3,2,12/2/2018,Detached,No,1100,700,Cape Cod,127 X 186 X 41 X 147,23622,,,,,,,
55,165,Shermer,11,6,2,0,1,60000,365000,385000,42,0,3,1,12/3/2018,Detached,No,0,,Ranch,60 X 120,7200,,,,,,,
56,166,George,11,10,3,1,2,60000,802000,824900,43,0,4,2,12/4/2018,Attached,No,0,,Other,100X100,10000,,,,,,,
57,167,Harrison,11,9,3,1,2,60000,760000,799900,49,0,4,2,12/5/2018,Detached,Yes,0,,Other,0.17,7405.2,,,,,,,
58,168,Fielding,11,14,3,1,2,60000,1010000,1025000,50,0,4,3,12/6/2018,Attached,Yes,0,,Colonial,58X142X68X135,8236,,,,,,,
59,169,Central,11,8,2,0,1,60000,470000,479000,50,0,3,1.5,12/7/2018,Attached,Yes,0,,Ranch,158X64X155X65,10112,,,,,,,
60,170,Warren,11,7,2,0,1.5,60000,309000,314900,51,0,3,2,12/8/2018,Attached,No,0,,Other,91X112,10192,,,,,,,
61,171,Pick,11,7,2,0,1,60000,435000,459000,60,0,3,1,12/9/2018,Detached,No,0,,Other,132X74,9768,,,,,,,
62,172,London,11,9,3,0,1,60000,500000,524900,62,1,3,1,12/10/2018,Attached,Yes,1500,1300,Other,67X135X68X134,9045,,,,,,,
63,173,Robincrest,11,9,2,0,1,60000,480000,499000,63,1,3,1,12/11/2018,Attached,Yes,0,,Ranch,63 X 140 X 65 X 135,8820,,,,,,,
64,174,MEADOWLARK,11,10,2,1,2,60000,577000,599000,64,0,4,2.5,12/12/2018,Attached,No,0,,Colonial,138 X 63,8694,,,,,,,
65,175,Constitution,11,14,4,0,2,60000,944000,979000,64,1,5,3,12/13/2018,Attached,Yes,0,,Colonial,65X137X65X135,8905,,,,,,,
66,176,Huber,11,10,2,1,2,60000,520000,550000,67,0,4,2,12/14/2018,Attached,No,0,,Colonial,74.5' X 135.15',10068.675,,,,,,,
