ID,StreetNum,StrName,Area,Rooms,FullBath,HalfBath,Floors,Zip,SoldPrice,ListPrice,MT,BedRoomsBsmt,BedRooms,GarageSpaces,ClosedDate,GarageType,BsmtBath,AbvGrdSF,BsmntSF,Style,LotDims,LotSize
1000,1110,Timberline,11,12,4,2,2,6000,1225000,1250000,386,0,5,2,12/13/2018,Attached,No,0,,Colonial,117 X 250 X 284 X 292,29250
1001,1111,Burr Oak,11,16,4,1,2,6000,1086000,1175000,755,0,6,3,12/14/2018,Attached,No,0,,Other,261 X 174 X 256 X 174,45414
1002,1112,Pinehurst,11,13,5,0,1,6000,1430000,1450000,60,1,4,2,12/15/2018,Attached,Yes,0,,Other,80 X 133 X 70 X 169,10640
1003,1113,Nora,11,11,3,0,2,6000,483000,499900,152,0,4,2,12/16/2018,Detached,No,0,,Traditional,40X136,5440
1004,1114,Central,11,11,6,0,2,6000,920000,950000,48,0,5,3,12/17/2018,Attached,Yes,7900,,Colonial,63X310,19530
1005,1115,Glenayre,11,15,5,1,2,6000,1220000,1399000,209,0,6,2,12/18/2018,Attached,No,0,,Colonial,107 X 208 X 122 X 212,22256
1006,1116,Michael Manor,11,8,2,0,1.5,6000,323000,340000,147,0,3,2.5,12/19/2018,Detached,Yes,1635,,Tri-Level,10050,10050
1007,1117,Robincrest,11,11,5,1,2,6000,1205000,1199000,239,1,4,3,12/20/2018,Attached,Yes,3670,,Colonial,70*125,8750
1008,1118,HARLEM,11,8,3,0,2,6000,660000,699000,140,0,4,2,12/21/2018,Attached,No,0,,Contemporary,70X144.81,10136.7
1009,1119,Indian,11,9,2,0,1,6000,667000,695000,136,0,3,2,12/22/2018,Attached,No,0,,Contemporary,85X135,11475
1010,1120,Juniper,11,6,2,0,1,6000,400000,425000,1,0,3,2,12/23/2018,Attached,No,0,,Ranch,70.35X132.91,9350.2185
1011,1121,Independence,11,12,4,0,2,6000,950000,969000,112,1,5,2,12/24/2018,Attached,Yes,0,,Colonial,153X69X145X65,10557
1012,1122,Wedel,11,12,2,0,1,6000,427500,439900,293,0,4,4,12/25/2018,Detached,No,0,,Ranch,75 X 126,9450
1013,1123,Greendale,11,10,4,0,2,6000,490000,550000,128,0,5,2,12/26/2018,Detached,No,0,,Contemporary,75 X 164 X 101 X 175,12300
1014,1124,Pine,11,9,4,0,2,6000,337000,359900,141,0,5,2,12/27/2018,Attached,No,0,,Other,12785,12785
1015,1125,Ironwood,11,6,2,0,1,6000,679900,679900,113,0,3,2,12/28/2018,Attached,No,2308,,Other,66X117X66X117,7722
1016,1126,Harms,11,8,2,1,2,6000,400000,439900,114,0,3,2,12/29/2018,Detached,No,0,,Other,120X80,9600
1017,1127,Ivy,11,11,3,1,2,6000,496000,569000,126,1,4,2,12/30/2018,Attached,Yes,0,,Colonial,71X135X66X135,9585
1018,1128,JOY,11,8,2,1,2,6000,507000,519900,122,0,4,2,12/31/2018,Attached,No,0,,Other,82X130X82X121,10660
1019,1129,Chatham,11,14,4,1,2,6000,1150000,1250000,307,0,4,3,1/1/2019,Attached,Yes,0,,Colonial,113 X 198 X 112 X 185,22374
1020,1240,Heritage,22,5,2,1,1,6000,1044929,899000,416,0,2,2,1/2/2019,Attached,No,0,,Ranch,50X71,3550
1021,1241,Heritage,22,6,3,0,1,6000,1409604,1234000,90,0,2,2,1/3/2019,Attached,No,2650,,Ranch,50X100,5000
1022,1242,Ridgewood,22,9,2,1,2,6000,549000,559000,368,0,3,4,1/4/2019,Detached,No,0,,Other,130X350X41X264,45500
1023,1243,Spruce,22,16,6,1,2,6000,1445000,1624900,371,0,6,4,1/5/2019,Attached,Yes,6500,3450,Other,129X297,38313
1024,1244,Lexington,22,9,3,1,2,6000,330000,330000,231,0,4,2,1/6/2019,Attached,Yes,0,,Bi-Level,47 X 197 X 155 X 174,9259
